Name,type,,x,y,depth_layer,val
102.725_1,head elevation in saturated zone,1,472919.13,6184930.5,Depth,87.5
102.725_2,head elevation in saturated zone,1,472919.13,6184930.5,Depth,58.5
102.873_1,head elevation in saturated zone,1,473187.16,6185045,Depth,27.5
103.1542_1,head elevation in saturated zone,1,491213,6186460,Depth,6.5
103.1653_1,head elevation in saturated zone,1,484564.88,6193933.5,Depth,74
103.1653_2,head elevation in saturated zone,1,484564.88,6193933.5,Depth,28
104.2190_1,head elevation in saturated zone,1,498971,6186450,Depth,8.5
105.374_1,head elevation in saturated zone,1,525476.19,6199845.5,Depth,20
113.111_1,head elevation in saturated zone,1,488011,6181004,Depth,21.5
114.1618_6,head elevation in saturated zone,1,498159.59,6180672,Depth,2.5
114.1631_1,head elevation in saturated zone,1,503115,6181106,Depth,6.6999998
83.1175_1,head elevation in saturated zone,1,470368.91,6214848.5,Depth,72.25
84.1167_1,head elevation in saturated zone,1,491130,6217231,Depth,5.6500001
86.2056_1,head elevation in saturated zone,1,512022.03,6218296.5,Depth,146
86.2056_2,head elevation in saturated zone,1,512022.03,6218296.5,Depth,70
93.1062_2,head elevation in saturated zone,1,470686.66,6206881.5,Depth,127
93.1062_3,head elevation in saturated zone,1,470686.66,6206881.5,Depth,111
93.795_1,head elevation in saturated zone,1,466894.94,6212321.5,Depth,71
94.1920_1,head elevation in saturated zone,1,474088.44,6208807,Depth,38.5
94.1920_2,head elevation in saturated zone,1,474088.44,6208807,Depth,17.15
94.2476_1,head elevation in saturated zone,1,480001,6204604,Depth,24.75
94.2476_2,head elevation in saturated zone,1,480001,6204604,Depth,21.700001
94.2476_3,head elevation in saturated zone,1,480001,6204604,Depth,19.5
94.2476_4,head elevation in saturated zone,1,480001,6204604,Depth,16.5
94.2476_5,head elevation in saturated zone,1,480001,6204604,Depth,14.5
95.1919_1,head elevation in saturated zone,1,509767.25,6210913,Depth,25.5
95.1919_2,head elevation in saturated zone,1,509767.25,6210913,Depth,6.5
