NOVANAID	XUTM	YUTM	DEPTH	PEJL	DATO	BERELAG	ID
96.1953_1	525075.91	6204720.56	72.0	69.769999999999996	01-01-2000		96.1953_1
95.1919_2	509767.25	6210913.08	6.5	63.289999999999999	01-01-2000		95.1919_2
95.1919_1	509767.25	6210913.08	25.5	63.189999999999998	01-01-2000		95.1919_1
115.1376_1	523601.94	6184238.37	30.25	76.709999999999994	01-01-2000		115.1376_1
114.1618_6	498159.59	6180672.07	2.5	43.930000000000000	01-01-2000		114.1618_6
104.2190_1	498971.0	6186450.0	8.5	39.939999999999998	01-01-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	29.829999999999998	01-01-2000		103.1542_1
102.725_1	472919.12	6184930.64	87.5	44.850000000000001	01-01-2000		102.725_1
94.1920_2	474088.43	6208806.96	17.15	36.299999999999997	01-02-2000		94.1920_2
94.1920_1	474088.43	6208806.96	38.5	41.500000000000000	01-02-2000		94.1920_1
114.1618_6	498159.59	6180672.07	2.5	44.060000000000002	01-02-2000		114.1618_6
114.1618_6	498159.59	6180672.07	2.5	44.000000000000000	01-02-2000		114.1618_6
114.1618_5	498159.59	6180672.07	7.25	44.020000000000003	01-02-2000		114.1618_5
114.1618_4	498159.59	6180672.07	34.5	44.000000000000000	01-02-2000		114.1618_4
114.1618_3	498159.59	6180672.07	49.5	43.899999999999999	01-02-2000		114.1618_3
114.1618_2	498159.59	6180672.07	94.5	41.789999999999999	01-02-2000		114.1618_2
114.1618_1	498159.59	6180672.07	104.0	41.759999999999998	01-02-2000		114.1618_1
104.2190_1	498971.0	6186450.0	8.5	40.020000000000003	01-02-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	29.859999999999999	01-02-2000		103.1542_1
102.725_1	472919.12	6184930.64	87.5	45.049999999999997	01-02-2000		102.725_1
102.175_1	465424.0	6195419.0	49.0	6.590000000000000	01-02-2000		102.175_1
95.1919_2	509767.25	6210913.08	6.5	63.390000000000001	01-03-2000		95.1919_2
95.1919_1	509767.25	6210913.08	25.5	63.340000000000003	01-03-2000		95.1919_1
114.1618_6	498159.59	6180672.07	2.5	44.130000000000003	01-03-2000		114.1618_6
105.374_1	525476.16	6199845.5	20.0	78.260000000000005	01-03-2000		105.374_1
105.1748_1	512779.45	6190338.78	89.75	62.710000000000001	01-03-2000		105.1748_1
105.1739_1	520765.97	6188272.57	65.0	79.040000000000006	01-03-2000		105.1739_1
104.2190_1	498971.0	6186450.0	8.5	40.109999999999999	01-03-2000		104.2190_1
104.2190_1	498971.0	6186450.0	8.5	40.090000000000003	01-03-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	29.960000000000001	01-03-2000		103.1542_1
102.725_1	472919.12	6184930.64	87.5	45.390000000000001	01-03-2000		102.725_1
102.175_1	465424.0	6195419.0	49.0	6.740000000000000	01-03-2000		102.175_1
94.2476_5	480001.0	6204604.0	14.5	19.890000000000001	01-04-2000		94.2476_5
94.2476_4	480001.0	6204604.0	16.5	19.879999999999999	01-04-2000		94.2476_4
94.2476_3	480001.0	6204604.0	19.5	19.870000000000001	01-04-2000		94.2476_3
94.2476_2	480001.0	6204604.0	21.7	19.859999999999999	01-04-2000		94.2476_2
94.2476_1	480001.0	6204604.0	24.75	19.870000000000001	01-04-2000		94.2476_1
115.1359_1	517242.4	6178130.35	56.1	98.409999999999997	01-04-2000		115.1359_1
114.1618_6	498159.59	6180672.07	2.5	43.799999999999997	01-04-2000		114.1618_6
114.1618_6	498159.59	6180672.07	2.5	43.789999999999999	01-04-2000		114.1618_6
105.1743_1	516588.21	6193390.38	42.0	70.870000000000005	01-04-2000		105.1743_1
105.1742_1	516874.0	6198138.0	57.0	57.869999999999997	01-04-2000		105.1742_1
105.1741_1	517039.0	6197913.0	18.0	65.109999999999999	01-04-2000		105.1741_1
104.2190_1	498971.0	6186450.0	8.5	39.909999999999997	01-04-2000		104.2190_1
102.725_1	472919.12	6184930.64	87.5	45.320000000000000	01-04-2000		102.725_1
95.1919_2	509767.25	6210913.08	6.5	62.539999999999999	01-05-2000		95.1919_2
95.1919_1	509767.25	6210913.08	25.5	62.439999999999998	01-05-2000		95.1919_1
94.1920_2	474088.43	6208806.96	17.15	36.149999999999999	01-05-2000		94.1920_2
94.1920_1	474088.43	6208806.96	38.5	40.950000000000003	01-05-2000		94.1920_1
114.1618_6	498159.59	6180672.07	2.5	43.500000000000000	01-05-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.690000000000001	01-05-2000		113.111_1
105.1773_1	523982.0	6195196.0	31.5	74.430000000000007	01-05-2000		105.1773_1
105.1746_1	511673.35	6191426.97	75.0	63.409999999999997	01-05-2000		105.1746_1
105.1745_1	515582.1	6186469.02	72.85	65.260000000000005	01-05-2000		105.1745_1
103.1542_1	491213.0	6186460.0	6.5	29.340000000000000	01-05-2000		103.1542_1
102.725_1	472919.12	6184930.64	87.5	44.969999999999999	01-05-2000		102.725_1
96.2190_1	516784.5	6208585.79	31.5	65.519999999999996	01-06-2000		96.2190_1
114.1815_1	499746.0	6182307.0	31.0	45.549999999999997	01-06-2000		114.1815_1
114.1618_6	498159.59	6180672.07	2.5	43.090000000000003	01-06-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.480000000000000	01-06-2000		113.111_1
105.1749_1	517576.0	6186483.73	81.5	73.349999999999994	01-06-2000		105.1749_1
104.2190_1	498971.0	6186450.0	8.5	39.500000000000000	01-06-2000		104.2190_1
104.2190_1	498971.0	6186450.0	8.5	39.490000000000002	01-06-2000		104.2190_1
103.1542_1	491213.0	6186460.0	6.5	29.160000000000000	01-06-2000		103.1542_1
102.873_1	473187.16	6185044.93	27.5	43.390000000000001	01-06-2000		102.873_1
102.175_1	465424.0	6195419.0	49.0	6.340000000000000	01-06-2000		102.175_1
95.1919_2	509767.25	6210913.08	6.5	62.189999999999998	01-07-2000		95.1919_2
95.1919_1	509767.25	6210913.08	25.5	62.090000000000003	01-07-2000		95.1919_1
94.2476_5	480001.0	6204604.0	14.5	19.989999999999998	01-07-2000		94.2476_5
94.2476_4	480001.0	6204604.0	16.5	20.000000000000000	01-07-2000		94.2476_4
94.2476_3	480001.0	6204604.0	19.5	19.980000000000000	01-07-2000		94.2476_3
94.2476_2	480001.0	6204604.0	21.7	19.969999999999999	01-07-2000		94.2476_2
94.2476_1	480001.0	6204604.0	24.75	19.980000000000000	01-07-2000		94.2476_1
115.1372_1	525062.0	6184135.0	29.5	74.480000000000004	01-07-2000		115.1372_1
114.1618_6	498159.59	6180672.07	2.5	42.789999999999999	01-07-2000		114.1618_6
113.111_1	488011.0	6181004.0	21.5	28.270000000000000	01-07-2000		113.111_1
105.1752_1	517313.55	6193379.82	61.5	69.560000000000002	01-07-2000		105.1752_1
