Name,DataTypeCode,NewPlot,X,Y,Depth,UseObsdata,dfs0file name,dfs0ItemNumber
102.725_1,101,1,472919.12,6184930.64,87.50,1,..\..\MapsDK\Hdata\102.725_1,1
102.725_2,101,1,472919.12,6184930.64,58.50,1,..\..\MapsDK\Hdata\102.725_2,1
102.873_1,101,1,473187.16,6185044.93,27.50,1,..\..\MapsDK\Hdata\102.873_1,1
103.1542_1,101,1,491213.00,6186460.00,6.50,1,..\..\MapsDK\Hdata\103.1542_1,1
103.1653_1,101,1,484564.88,6193933.47,74.00,1,..\..\MapsDK\Hdata\103.1653_1,1
103.1653_2,101,1,484564.88,6193933.47,28.00,1,..\..\MapsDK\Hdata\103.1653_2,1
104.2190_1,101,1,498971.00,6186450.00,8.50,1,..\..\MapsDK\Hdata\104.2190_1,1
105.1969_2,101,1,524708.56,6187399.13,39.50,1,..\..\MapsDK\Hdata\105.1969_2,1
105.374_1,101,1,525476.16,6199845.50,20.00,1,..\..\MapsDK\Hdata\105.374_1,1
106.1444_1,101,1,537263.79,6187644.02,77.50,1,..\..\MapsDK\Hdata\106.1444_1,1
106.1535_1,101,1,540388.15,6196739.32,15.00,1,..\..\MapsDK\Hdata\106.1535_1,1
106.1536_1,101,1,548306.98,6196144.13,7.00,1,..\..\MapsDK\Hdata\106.1536_1,1
106.583_1,101,1,548407.00,6191315.00,73.00,1,..\..\MapsDK\Hdata\106.583_1,1
106.590_1,101,1,547698.00,6189476.00,41.50,1,..\..\MapsDK\Hdata\106.590_1,1
106.647_1,101,1,544550.00,6193120.00,63.75,1,..\..\MapsDK\Hdata\106.647_1,1
106.651_1,101,1,547284.00,6194827.00,64.00,1,..\..\MapsDK\Hdata\106.651_1,1
106.672_1,101,1,548283.97,6192164.81,48.00,1,..\..\MapsDK\Hdata\106.672_1,1
106.981_1,101,1,541168.00,6191927.00,8.50,1,..\..\MapsDK\Hdata\106.981_1,1
107.1568_1,101,1,554899.28,6196479.07,152.00,1,..\..\MapsDK\Hdata\107.1568_1,1
107.1568_2,101,1,554899.28,6196479.07,44.00,1,..\..\MapsDK\Hdata\107.1568_2,1
107.517_1,101,1,554046.00,6196538.30,80.00,1,..\..\MapsDK\Hdata\107.517_1,1
107.581_1,101,1,553503.15,6196112.15,72.50,1,..\..\MapsDK\Hdata\107.581_1,1
107.586_1,101,1,553722.00,6196489.00,49.00,1,..\..\MapsDK\Hdata\107.586_1,1
107.587_1,101,1,553847.00,6196507.00,65.00,1,..\..\MapsDK\Hdata\107.587_1,1
107.589_1,101,1,553845.76,6196661.21,54.00,1,..\..\MapsDK\Hdata\107.589_1,1
107.590_1,101,1,553984.00,6196704.00,58.00,1,..\..\MapsDK\Hdata\107.590_1,1
107.591_1,101,1,554234.00,6196709.00,76.00,1,..\..\MapsDK\Hdata\107.591_1,1
107.655_1,101,1,554480.00,6196687.00,79.00,1,..\..\MapsDK\Hdata\107.655_1,1
107.667_1,101,1,554706.00,6196530.00,75.00,1,..\..\MapsDK\Hdata\107.667_1,1
107.674_1,101,1,555167.09,6197301.29,128.50,1,..\..\MapsDK\Hdata\107.674_1,1
107.688_1,101,1,554110.00,6196847.00,55.50,1,..\..\MapsDK\Hdata\107.688_1,1
107.694_1,101,1,550878.00,6190946.00,93.15,1,..\..\MapsDK\Hdata\107.694_1,1
107.696_1,101,1,550166.00,6190393.00,66.55,1,..\..\MapsDK\Hdata\107.696_1,1
107.701_1,101,1,555594.17,6197643.51,81.50,1,..\..\MapsDK\Hdata\107.701_1,1
107.704_1,101,1,554658.44,6196688.27,71.00,1,..\..\MapsDK\Hdata\107.704_1,1
107.719_1,101,1,554383.00,6196679.00,79.25,1,..\..\MapsDK\Hdata\107.719_1,1
107.721_1,101,1,548500.00,6191713.00,62.35,1,..\..\MapsDK\Hdata\107.721_1,1
107.733_1,101,1,554595.00,6196687.00,79.50,1,..\..\MapsDK\Hdata\107.733_1,1
107.757_1,101,1,548705.58,6193119.90,91.00,1,..\..\MapsDK\Hdata\107.757_1,1
107.799_1,101,1,554875.00,6196856.00,152.00,1,..\..\MapsDK\Hdata\107.799_1,1
107.800_1,101,1,554964.92,6196974.75,139.00,1,..\..\MapsDK\Hdata\107.800_1,1
107.823_1,101,1,549401.21,6191644.64,65.50,1,..\..\MapsDK\Hdata\107.823_1,1
107.829_1,101,1,550333.00,6191436.00,69.45,1,..\..\MapsDK\Hdata\107.829_1,1
107.857_1,101,1,550292.70,6190873.40,76.10,1,..\..\MapsDK\Hdata\107.857_1,1
107.865_1,101,1,549538.00,6191661.00,85.05,1,..\..\MapsDK\Hdata\107.865_1,1
107.894_1,101,1,550300.50,6190921.00,72.00,1,..\..\MapsDK\Hdata\107.894_1,1
108.152_1,101,1,575261.00,6200163.00,70.95,1,..\..\MapsDK\Hdata\108.152_1,1
108.158_1,101,1,575807.00,6199352.00,28.31,1,..\..\MapsDK\Hdata\108.158_1,1
108.159_1,101,1,576087.00,6200147.00,33.14,1,..\..\MapsDK\Hdata\108.159_1,1
108.160_1,101,1,575945.00,6200309.00,23.19,1,..\..\MapsDK\Hdata\108.160_1,1
